Question,1,2,3,Correct Answer
Which of these animals has been elected to office in the US?,Mule,Groundhog,Pig,Mule
What single was the first by a former Beatle to top the US charts?,My Sweet Lord,Band on the Run,Imagine,My Sweet Lord
Which of these programs launched under a name for a kids' game?,Snapchat,Bitmoji,Twitch,Snapchat
"According to Coin Market Cap, which cryptocurrency has lost the least value by percentage in 2018?",Litecoin,Ripple,Ethereum,Litecoin
What is the name of Sheryl Sandberg's best-selling book?,Lean In,Dream Big,Thinking Different,Lean In
Which of these is the name of a Facebook feature?,Poke,Tap,Ping,Poke
"After starting as an online bookstore, what tech giant opened physical bookstores?",Amazon,Facebook,Google,Amazon
Which of these chefs does NOT have a namesake restaurant?,Nigella Lawson,Cat Cora,Giada de Laurentiis,Nigella Lawson
"In calculus, what term represents the inverse of differentiation?",Integration,Substantiation,Translation,Integration
Older lyrics to the song now known as 'The Battle Hymn of the Republic' were about what person?,Abolitionist,President,Greek hero,Abolitionist
Which character on The Simpsons' is NOT voiced by the same person as the other two?,Chief Wiggum,Ned Flanders,Kent Brockman,Chief Wiggum
Brutalist architecture primarily uses what building material?,Concrete,Steel,Glass,Concrete
"In economics, what does GDP' stand for?",Gross domestic product,Giant duck projection,Goofy drainage pipes,Gross domestic product
What is peanut butter most commonly sold in?,Jars,Thimbles,Mugs,Jars
Who is an unlikely villain in one of Shakespeare's plays?,Joan of Arc,Robin Hood,Merlin,Joan of Arc
"In addition to the mammal, armadillo' can also refer to a type of what?",Lizard,Bird,Crustacean,Lizard
Which of these big' movies was nominated for the most Academy Awards?,The Big Chill,Big,The Big Lebowski,The Big Chill
Which of these websites is NOT best described as a social network?,Bing,Twitter,Facebook,Bing
The name of Cardi B's newborn is mostly likely a nod to what?,Album name,Snack food,Designer brand,Album name
Which of these Drake songs is currently highest on the Billboard Hot 100?,Nonstop,I'm Upset,God's Plan,Nonstop
"In his first viral yodeling video, what was Mason Ramsey wearing?",Bow tie,Cowboy hat,Bolo tie,Bow tie
The star of which TV show hosted the 2018 season finale of Saturday Night Live'?,30 Rock,Brooklyn Nine-Nine,The Tonight Show,30 Rock
"According to Forbes,' who is poised to become the youngest self-made billionaire ever'?",Kylie Jenner,Lenny Dykstra,Larry King,Kylie Jenner
What film is the quote I'm Batman' from?,Batman,Taxi Driver,Casablanca,Batman
Which of the four majors in golf is the youngest?,The Masters,The PGA Championship,US Open,The Masters
"According to official MLB rules, which one of these must be set in the ground'?",Home plate,Third base,First base,Home plate
Which of these is a common swimming stroke?,Backstroke,Headwobble,Kneeheave,Backstroke
The Nintendo character who rules Sarasaland made her video game debut on what platform?,Game Boy,NES,Super NES,Game Boy
"In Major League Baseball, what is named for the only player with more than 500 career wins?",Award,Rule,Stadium,Award
What type of doctor works primarily with infants and children?,Pediatric,Geriatric,Orthopedic,Pediatric
What item of clothing often has pockets?,Pants,Fedora,Socks,Pants
Which of these was NOT part of the first meal eaten on the moon?,Ice cream,Bacon,Peaches,Ice cream
"In US customary units, a cask holding 63 gallons of wine is called what?",Hogshead,Sheepsgut,Bullskin,Hogshead
What mountain range is generally considered the border between European Russia and Asian Russia?,Urals,Himalayas,Pyrenees,Urals
Which of these is NOT the name of a hugely successful band?,Seattle,Boston,Chicago,Seattle
Which of these planets is known for having a Great Cold Spot?,Jupiter,Neptune,Saturn,Jupiter
The cast of The Brady Bunch' included a main character with which of these names?,Peter,Fred,Stu,Peter
